Field,Activity,Activity Description,Operation Seq,Component,Component Description,UOM,Quantity
JAS,CEDE-H250-02(1),Job for Mechanic & E&I Cummins engine model KTA-50-G3/G9 250 hr service,1,1002655,"ELEMENT, FILTER, TYPE AIR PRIMARY, SIZE 384.05 X 622.3MM., MFG FLEETGUARD, P/N AF25544",PCS,2
JAS,CEDE-H250-02(1),Job for Mechanic & E&I Cummins engine model KTA-50-G3/G9 250 hr service,1,1002655,"ELEMENT, FILTER, TYPE AIR PRIMARY, SIZE 384.05 X 622.3MM., MFG FLEETGUARD, P/N AF25544",PCS,3
JAS,CEDE-H250-02(1),Job for Mechanic & E&I Cummins engine model KTA-50-G3/G9 250 hr service,1,1002655,"ELEMENT, FILTER, TYPE AIR PRIMARY, SIZE 384.05 X 622.3MM., MFG FLEETGUARD, P/N AF25544",PCS,2
JAS,CEDE-H250-02(1),Job for Mechanic & E&I Cummins engine model KTA-50-G3/G9 250 hr service,1,1002655,"ELEMENT, FILTER, TYPE AIR PRIMARY, SIZE 384.05 X 622.3MM., MFG FLEETGUARD, P/N AF25544",PCS,2
JAS,CEDE-H250-02(1),Job for Mechanic & E&I Cummins engine model KTA-50-G3/G9 250 hr service,1,1002655,"ELEMENT, FILTER, TYPE AIR PRIMARY, SIZE 384.05 X 622.3MM., MFG FLEETGUARD, P/N AF25544",PCS,2
JAS,CEDE-H250-02(1),Job for Mechanic & E&I Cummins engine model KTA-50-G3/G9 250 hr service,1,1002655,"ELEMENT, FILTER, TYPE AIR PRIMARY, SIZE 384.05 X 622.3MM., MFG FLEETGUARD, P/N AF25544",PCS,2
JAS,VASC-Y01-02,Job for E&I Tech & Contractor Pressure relief valve conventional type annual  service,60,1004547,"GASKET, SPIRAL WOUND, PIPE SIZE 1IN., CLASS 300, SPIRAL WOUND THCK 0.175IN., WINDING MATL SS316, FILLER MATL GRAPHITE, CENTERING RING MATL SS316, INNERING RING MATL SS316, SPEC API601",SET,1
JAS,VASC-Y01-02,Job for E&I Tech & Contractor Pressure relief valve conventional type annual  service,60,1004547,"GASKET, SPIRAL WOUND, PIPE SIZE 1IN., CLASS 300, SPIRAL WOUND THCK 0.175IN., WINDING MATL SS316, FILLER MATL GRAPHITE, CENTERING RING MATL SS316, INNERING RING MATL SS316, SPEC API601",SET,1
JAS,VASC-Y01-02,Job for E&I Tech & Contractor Pressure relief valve conventional type annual  service,60,1004547,"GASKET, SPIRAL WOUND, PIPE SIZE 1IN., CLASS 300, SPIRAL WOUND THCK 0.175IN., WINDING MATL SS316, FILLER MATL GRAPHITE, CENTERING RING MATL SS316, INNERING RING MATL SS316, SPEC API601",SET,1
JAS,VASC-Y01-02,Job for E&I Tech & Contractor Pressure relief valve conventional type annual  service,60,1004547,"GASKET, SPIRAL WOUND, PIPE SIZE 1IN., CLASS 300, SPIRAL WOUND THCK 0.175IN., WINDING MATL SS316, FILLER MATL GRAPHITE, CENTERING RING MATL SS316, INNERING RING MATL SS316, SPEC API601",SET,1
JAS,VASC-Y01-02,Job for E&I Tech & Contractor Pressure relief valve conventional type annual  service,60,1004547,"GASKET, SPIRAL WOUND, PIPE SIZE 1IN., CLASS 300, SPIRAL WOUND THCK 0.175IN., WINDING MATL SS316, FILLER MATL GRAPHITE, CENTERING RING MATL SS316, INNERING RING MATL SS316, SPEC API601",SET,1
JAS,VASC-Y01-02,Job for E&I Tech & Contractor Pressure relief valve conventional type annual  service,60,1004547,"GASKET, SPIRAL WOUND, PIPE SIZE 1IN., CLASS 300, SPIRAL WOUND THCK 0.175IN., WINDING MATL SS316, FILLER MATL GRAPHITE, CENTERING RING MATL SS316, INNERING RING MATL SS316, SPEC API601",SET,1
JAS,VASC-Y01-02,Job for E&I Tech & Contractor Pressure relief valve conventional type annual  service,60,1004547,"GASKET, SPIRAL WOUND, PIPE SIZE 1IN., CLASS 300, SPIRAL WOUND THCK 0.175IN., WINDING MATL SS316, FILLER MATL GRAPHITE, CENTERING RING MATL SS316, INNERING RING MATL SS316, SPEC API601",SET,1
JAS,PUSC-H3000-01,"Job for Mechanic & E&I Bornemann crude transfer pumps model w8.5z 3,000 hr or 6-monthly service",120,1002726,"OIL, VISC RTG 150, FLASH POINT 250 DEG.C, CONTAINER PAIL 20L, MFG SHELL, P/N OMALA S2 G150",PAI,1
JAS,PUSC-H3000-01,"Job for Mechanic & E&I Bornemann crude transfer pumps model w8.5z 3,000 hr or 6-monthly service",130,1002798,"OIL, TYPE MORLINA S2 BL10, VISC RTG 10, FLASH POINT 150 DEG.C, CONTAINER PAIL 20L, MFG SHELL, P/N MORLINA S2 BL10/20 L",PAI,0
JAS,PUSC-H3000-01,"Job for Mechanic & E&I Bornemann crude transfer pumps model w8.5z 3,000 hr or 6-monthly service",150,1003487,"GREASE, TEMP RTG -20 TO 160DEG.C, THICKENER DIUREA, VISC RTG 100, COLOR BROWN, CONTAINER PAIL 18KG., MFG SHELL, P/N GADUS S3 T150J 2",PAI,0.25
JAS,PUPG-M06-02,Job for Mechanic Milton Roy Milroyal B/D pump 6-monthly service,20,1002716,"OIL, TYPE OMALA S2 G, VISC RTG 460, FLASH POINT 260 DEG C, CONTAINER PAIL/20L, MFG SHELL, P/N OMALA S2 G 460/20 L",PAI,1
JAS,EMAC-M06-01,Job for E&I Tech Reliance AC Motor 6-monthly service,30,1003485,"GREASE, TEMP RTG -30 TO 130DEG.C, THICKENER LITHIUM, VISC RTG 100, COLOR SMOOTH AMBER/18KG, MFG SHELL, P/N GADUS S2 V100 2",PAI,0.1
JAS,COSC-H8000-03,"Job for Mechanic Air compressor Atlas Copco model GA75PLUS 8,000 hr service",220,1002624,"DUPLICATED, PLEASE USE ITEM 1003255",PAI,1.5
JAS,COSC-H8000-03,"Job for Mechanic Air compressor Atlas Copco model GA75PLUS 8,000 hr service",230,1004076,"KIT, TYPE FILTER REPLACEMENT, CONTAINS OIL FILTER ELEMENT ASSY, MFG ATLAS COPCO, P/N 2901194502",EA,1
JAS,COSC-H8000-03,"Job for Mechanic Air compressor Atlas Copco model GA75PLUS 8,000 hr service",240,1004076,"KIT, TYPE FILTER REPLACEMENT, CONTAINS OIL FILTER ELEMENT ASSY, MFG ATLAS COPCO, P/N 2901194502",EA,1
JAS,COSC-H8000-03,"Job for Mechanic Air compressor Atlas Copco model GA75PLUS 8,000 hr service",320,1002625,"KIT, TYPE SEPARATOR, CONTAINS A OIL SEPARATOR (1622365600), CONTAINS B O-RING (0663211116), MFG ATLAS COPCO, P/N 2901056622",EA,1
JAS,COSC-H8000-03,"Job for Mechanic Air compressor Atlas Copco model GA75PLUS 8,000 hr service",330,1004303,"KIT, APP CHECK & OIL STOP VALVE, MFG ATLAS COPCO, P/N 2901108401 (2901108400)",EA,1
JAS,COSC-H8000-03,"Job for Mechanic Air compressor Atlas Copco model GA75PLUS 8,000 hr service",340,1002838,"KIT, THERMOSTAT, FOR AIR COMPRESSOR, MFG ATLAS COPCO, P/N 2901146400",EA,1
JAS,COSC-H8000-03,"Job for Mechanic Air compressor Atlas Copco model GA75PLUS 8,000 hr service",350,1002877,"KIT, APP MINIMUM PRESSURE VALVE, MFG ATLAS COPCO, P/N 2901145300",EA,1
JAS,COSC-H8000-03,"Job for Mechanic Air compressor Atlas Copco model GA75PLUS 8,000 hr service",220,1003255,"OIL, INDUSTRIAL, TYPE ROTO, VISC RTG 100, FLASH POINT 240 DEG.C, CONTAINER CAN 20L, MFG ATLAS COPCO, P/N 1630091800",CAN,0
JAS,SLING-M03-01,Job for Mechanic and Contractor Sling 3 monthly service,1,1003576,"GREASE, TYPE CARDIUM COMPOUND, WIRE ROPE, TEMP RTG 210DEG.C, VISC RTG 200MM2/S, COLOR BLACK, CONTAINER /180KG.(DR.ONLY), MFG SHELL, P/N GADUS S1 OG 200",PAI,1
JAS,CHHD-H500-01,Job for Mechanic Nautilius marine crane model 60B2A-70 Hydraulic system 500 hr or 6- monthly service,20,1002647,"OIL, TYPE TELLUS S2 MX68, VISC RTG 68, FLASH POINT 235DEG.C, CONTAINER PAIL 20L, MFG SHELL, P/N TELLUS S2 M68/20L",PAI,1
JAS,CHHD-H500-01,Job for Mechanic Nautilius marine crane model 60B2A-70 Hydraulic system 500 hr or 6- monthly service,60,1002649,"ELEMENT, FILTER, TYPE HYDRAULIC, MFG BALDWIN, P/N PT763",EA,1
JAS,CRDO-H500-01,"Job for Mechanic Nautilius marine crane boom, gantry & Sheaves/cables&blocks  500 hr or 6 monthly service",110,1003576,"GREASE, TYPE CARDIUM COMPOUND, WIRE ROPE, TEMP RTG 210DEG.C, VISC RTG 200MM2/S, COLOR BLACK, CONTAINER /180KG.(DR.ONLY), MFG SHELL, P/N GADUS S1 OG 200",PAI,0.25
JAS,CEDE-H500-02,Job for Mechanic Caterpillar engine model 3126DITA 500 hr or 6- monthly service,120,1002628,DUPLICATE ITEM 1010803,EA,1
JAS,CEDE-H500-02,Job for Mechanic Caterpillar engine model 3126DITA 500 hr or 6- monthly service,60,1002641,"ELEMENT, FILTER, TYPE OIL - SPIN-ON, SIZE 107.9 X 254.6MM, FILTER RETENTION 35 MICRON, MATL CELLULOSE/SYNTHETIC, MFG CATERPILLAR, P/N 1R-0739",EA,1
JAS,CEDE-H500-02,Job for Mechanic Caterpillar engine model 3126DITA 500 hr or 6- monthly service,100,1002916,"COOLANT, ENGINE, TYPE ETHYLENE GLYCOL, CONTAINER 5 GAL, MFG CUMMINS, P/N CC2848",PAI,1
JAS,CEDE-H500-02,Job for Mechanic Caterpillar engine model 3126DITA 500 hr or 6- monthly service,110,1003580,"ELEMENT, FILTER, TYPE FUEL PRIMARY, MFG BALDWIN, P/N N45424-558",EA,1
JAS,CEDE-H500-02,Job for Mechanic Caterpillar engine model 3126DITA 500 hr or 6- monthly service,130,1002609,"ELEMENT, FILTER, TYPE AIR PRIMARY, SIZE 281.6 X 341MM., MFG CATERPILLAR, P/N 6I-2501",EA,1
JAS,CEDE-H500-02,Job for Mechanic Caterpillar engine model 3126DITA 500 hr or 6- monthly service,140,1002610,"ELEMENT, FILTER, TYPE AIR SECONDARY, SIZE 150.9 X 316MM., MFG CATERPILLAR, P/N 6I-2502",EA,1
JAS,CEDE-H500-02,Job for Mechanic Caterpillar engine model 3126DITA 500 hr or 6- monthly service,50,1004412,"OIL, ENGINE, SAE 15W-40, API CI-4, CONTAINER CAN 20L, MFG CUMMINS, P/N 20L-CI4",PAI,2
JAS,CEDE-H500-02,Job for Mechanic Caterpillar engine model 3126DITA 500 hr or 6- monthly service,120,1002628,DUPLICATE ITEM 1010803,EA,1
JAS,CEDE-H500-02,Job for Mechanic Caterpillar engine model 3126DITA 500 hr or 6- monthly service,120,1010803,"FILTER, FUEL, TYPE ADVANCE EFFICIENCY, MFG CATERPILLAR, P/N 1R-0751",PCS,1
JAS,PUCE-M03-01,Job for Mechanic GOULDS Closed drain booster pump 3-monthly service,60,1002647,"OIL, TYPE TELLUS S2 MX68, VISC RTG 68, FLASH POINT 235DEG.C, CONTAINER PAIL 20L, MFG SHELL, P/N TELLUS S2 M68/20L",PAI,1
JAS,CEDE-H250-05,Job for MTN Cummins engine model KTA-50-G9 250 hrs(with Eliminator) service,160,1002516,"ELEMENT, FILTER, TYPE WATER, SPIN-ON, SIZE 93.73 X 137.92MM., FILTER RETENTION 60 MICRON, MATL CELLULOSE, MFG FLEETGUARD, P/N WF2076",PCS,2
JAS,CEDE-H250-05,Job for MTN Cummins engine model KTA-50-G9 250 hrs(with Eliminator) service,100,1002602,"ELEMENT, FILTER,  TYPE FUEL/WATER SEPARATOR, SIZE 4.7 X 9.6 IN, FILTER RETENTION 30 MICRON, MATL MICRO-GLASS FIBRE, MFG PARKER, P/N 2020PM-OR",PCS,3
JAS,CEDE-H250-05,Job for MTN Cummins engine model KTA-50-G9 250 hrs(with Eliminator) service,140,1002651,"ELEMENT, FILTER, TYPE FUEL/WATER SEPARATOR SPIN ON, SIZE 120.29 X 313MM., MFG FLEETGUARD, P/N FS1006",PCS,2
JAS,CEDE-H250-05,Job for MTN Cummins engine model KTA-50-G9 250 hrs(with Eliminator) service,170,1002655,"ELEMENT, FILTER, TYPE AIR PRIMARY, SIZE 384.05 X 622.3MM., MFG FLEETGUARD, P/N AF25544",PCS,2
JAS,CEDE-H250-05,Job for MTN Cummins engine model KTA-50-G9 250 hrs(with Eliminator) service,180,1002656,"ELEMENT, FILTER, TYPE AIR SECONDARY, SIZE 251.21 X 596.9MM., MFG FLEETGUARD, P/N AF25545",PCS,2
JAS,CEDE-H250-05,Job for MTN Cummins engine model KTA-50-G9 250 hrs(with Eliminator) service,160,1016043,"ELEMENT, COOLANT FILTER, EXTENDEDER, THREAD SIZE 11/16-16 UN-2B  FOR KTA50 ENGINE, MFG CUMMINS, P/N WF2121",EA,2
JAS,CEDE-H500-01,Job for Mechanic Caterpillar engine model 3306DIT 500 hr or 6 monthly service,60,1002641,"ELEMENT, FILTER, TYPE OIL - SPIN-ON, SIZE 107.9 X 254.6MM, FILTER RETENTION 35 MICRON, MATL CELLULOSE/SYNTHETIC, MFG CATERPILLAR, P/N 1R-0739",EA,1
JAS,CEDE-H500-01,Job for Mechanic Caterpillar engine model 3306DIT 500 hr or 6 monthly service,100,1002916,"COOLANT, ENGINE, TYPE ETHYLENE GLYCOL, CONTAINER 5 GAL, MFG CUMMINS, P/N CC2848",PAI,1
JAS,CEDE-H500-01,Job for Mechanic Caterpillar engine model 3306DIT 500 hr or 6 monthly service,110,1003580,"ELEMENT, FILTER, TYPE FUEL PRIMARY, MFG BALDWIN, P/N N45424-558",EA,1
JAS,CEDE-H500-01,Job for Mechanic Caterpillar engine model 3306DIT 500 hr or 6 monthly service,120,1002605,"ELEMENT, FILTER, TYPE FUEL - SPIN-ON SECONDARY, SIZE 85.7 X 181.5MM, MATAL CELLULOSE, MFG CATERPILLAR, P/N 1R-0750",EA,1
JAS,CEDE-H500-01,Job for Mechanic Caterpillar engine model 3306DIT 500 hr or 6 monthly service,50,1004412,"OIL, ENGINE, SAE 15W-40, API CI-4, CONTAINER CAN 20L, MFG CUMMINS, P/N 20L-CI4",PAI,2
JAS,VASP-Y01-02,Job for E&I Tech & Contractor Pressure relief valve pilot type annual  service,10,1004548,"GASKET, SPIRAL WOUND, PIPE SIZE 1IN., CLASS 600, SPIRAL WOUND THCK 0.175IN., WINDING MATL SS316, FILLER MATL GRAPHITE, CENTERING RING MATL SS316, INNERING RING MATL SS316, SPEC API601",SET,1
JAS,VASP-Y01-02,Job for E&I Tech & Contractor Pressure relief valve pilot type annual  service,10,1004548,"GASKET, SPIRAL WOUND, PIPE SIZE 1IN., CLASS 600, SPIRAL WOUND THCK 0.175IN., WINDING MATL SS316, FILLER MATL GRAPHITE, CENTERING RING MATL SS316, INNERING RING MATL SS316, SPEC API601",SET,1
JAS,VASP-Y01-02,Job for E&I Tech & Contractor Pressure relief valve pilot type annual  service,10,1004548,"GASKET, SPIRAL WOUND, PIPE SIZE 1IN., CLASS 600, SPIRAL WOUND THCK 0.175IN., WINDING MATL SS316, FILLER MATL GRAPHITE, CENTERING RING MATL SS316, INNERING RING MATL SS316, SPEC API601",SET,1
JAS,EMAC-M03-01,Job for Mechanic Generator & Electric Motor 3-Monthly Lubrication,80,1003487,"GREASE, TEMP RTG -20 TO 160DEG.C, THICKENER DIUREA, VISC RTG 100, COLOR BROWN, CONTAINER PAIL 18KG., MFG SHELL, P/N GADUS S3 T150J 2",PAI,0.1
JAS,CEDE-H500-03,Job for MTN Cummins engine model KTA-50-G9(with eliminator) 500 hr service,170,1002516,"ELEMENT, FILTER, TYPE WATER, SPIN-ON, SIZE 93.73 X 137.92MM., FILTER RETENTION 60 MICRON, MATL CELLULOSE, MFG FLEETGUARD, P/N WF2076",PCS,2
JAS,CEDE-H500-03,Job for MTN Cummins engine model KTA-50-G9(with eliminator) 500 hr service,40,1004411,"OIL, ENGINE, SAE 15W-40, API CI-4, CONTAINER DRUM 209L, MFG CUMMINS, P/N 200L-CI4",DRM,0
JAS,CEDE-H500-03,Job for MTN Cummins engine model KTA-50-G9(with eliminator) 500 hr service,180,1002655,"ELEMENT, FILTER, TYPE AIR PRIMARY, SIZE 384.05 X 622.3MM., MFG FLEETGUARD, P/N AF25544",PCS,2
JAS,CEDE-H500-03,Job for MTN Cummins engine model KTA-50-G9(with eliminator) 500 hr service,190,1002656,"ELEMENT, FILTER, TYPE AIR SECONDARY, SIZE 251.21 X 596.9MM., MFG FLEETGUARD, P/N AF25545",PCS,2
JAS,CEDE-H500-03,Job for MTN Cummins engine model KTA-50-G9(with eliminator) 500 hr service,120,1002602,"ELEMENT, FILTER,  TYPE FUEL/WATER SEPARATOR, SIZE 4.7 X 9.6 IN, FILTER RETENTION 30 MICRON, MATL MICRO-GLASS FIBRE, MFG PARKER, P/N 2020PM-OR",PCS,3
JAS,CEDE-H500-03,Job for MTN Cummins engine model KTA-50-G9(with eliminator) 500 hr service,150,1002651,"ELEMENT, FILTER, TYPE FUEL/WATER SEPARATOR SPIN ON, SIZE 120.29 X 313MM., MFG FLEETGUARD, P/N FS1006",PCS,4
JAS,CEDE-H500-03,Job for MTN Cummins engine model KTA-50-G9(with eliminator) 500 hr service,170,1016043,"ELEMENT, COOLANT FILTER, EXTENDEDER, THREAD SIZE 11/16-16 UN-2B  FOR KTA50 ENGINE, MFG CUMMINS, P/N WF2121",EA,2
JAS,CEDE-H500-03,Job for MTN Cummins engine model KTA-50-G9(with eliminator) 500 hr service,40,1004411,"OIL, ENGINE, SAE 15W-40, API CI-4, CONTAINER DRUM 209L, MFG CUMMINS, P/N 200L-CI4",DRM,1
JAS,CRDO-H2000-01,"Job for Mechanic Nautilius marine crane boom, gantry & Sheaves/cables&blocks  2,000 hr or annual service",110,1003576,"GREASE, TYPE CARDIUM COMPOUND, WIRE ROPE, TEMP RTG 210DEG.C, VISC RTG 200MM2/S, COLOR BLACK, CONTAINER /180KG.(DR.ONLY), MFG SHELL, P/N GADUS S1 OG 200",PAI,0.25
JAS,PUPG-M02-01,Job for Mechanic William chemical injection pump 2-monthly service,50,1002620,"OIL, TYPE SILICONE OIL, CONTAINER BOTTLE/4 OZ, MFG WILLIAMS MILTON ROY, P/N SF96-100/4",EA,0.25
JAS,PUPG-M06-01,Job for Mechanic FMC M06 Closed drain reciprocating triplex pump 6-monthly service,90,1007056,"GREASE, FOR PACKED PLUNGER EASTERN 12 HI TEMP",PAI,0.25
JAS,EMAC-H1200-01,Job for ABB Motor frame size 355 1200 hrs service maintenance,70,1006025,"GREASE, INDUSTRIAL, TYPE NLGI GRADE 2, VISCOSITY RATING 100, COLOR RED, TEMPERATURE RATING 150 DEGREE C, THICKENER LITHIUM COMPLEX GREASE BASED ON SYNTHETIC, CONTAINER PAIL, MFG MOBIL, P/N SHC-100",PAI,0.1
JAS,CEDE-H2000-06,"Job for Mec Cummins engine model KTA-50-G9, 2000 hrs Service(without eliminator and SWHE inspection & cleaning)",170,1002516,"ELEMENT, FILTER, TYPE WATER, SPIN-ON, SIZE 93.73 X 137.92MM., FILTER RETENTION 60 MICRON, MATL CELLULOSE, MFG FLEETGUARD, P/N WF2076",PCS,2
JAS,CEDE-H2000-06,"Job for Mec Cummins engine model KTA-50-G9, 2000 hrs Service(without eliminator and SWHE inspection & cleaning)",40,1004411,"OIL, ENGINE, SAE 15W-40, API CI-4, CONTAINER DRUM 209L, MFG CUMMINS, P/N 200L-CI4",DRM,1
JAS,CEDE-H2000-06,"Job for Mec Cummins engine model KTA-50-G9, 2000 hrs Service(without eliminator and SWHE inspection & cleaning)",100,1002518,"ELEMENT, FILTER, TYPE OIL - SPIN-ON, SIZE 120.27 X 287.27 MM, MFG FLEETGUARD, P/N LF3325",PCS,5
JAS,CEDE-H2000-06,"Job for Mec Cummins engine model KTA-50-G9, 2000 hrs Service(without eliminator and SWHE inspection & cleaning)",110,1002517,"ELEMENT, FILTER, TYPE OIL, SPIN-ON, SIZE 116.08 X 249.2MM., FILTER RETENTION 5 MICRON, MFG FLEETGUARD, P/N LF777",PCS,2
JAS,CEDE-H2000-06,"Job for Mec Cummins engine model KTA-50-G9, 2000 hrs Service(without eliminator and SWHE inspection & cleaning)",120,1002602,"ELEMENT, FILTER,  TYPE FUEL/WATER SEPARATOR, SIZE 4.7 X 9.6 IN, FILTER RETENTION 30 MICRON, MATL MICRO-GLASS FIBRE, MFG PARKER, P/N 2020PM-OR",PCS,3
JAS,CEDE-H2000-06,"Job for Mec Cummins engine model KTA-50-G9, 2000 hrs Service(without eliminator and SWHE inspection & cleaning)",160,1002651,"ELEMENT, FILTER, TYPE FUEL/WATER SEPARATOR SPIN ON, SIZE 120.29 X 313MM., MFG FLEETGUARD, P/N FS1006",PCS,2
JAS,CEDE-H2000-06,"Job for Mec Cummins engine model KTA-50-G9, 2000 hrs Service(without eliminator and SWHE inspection & cleaning)",180,1002655,"ELEMENT, FILTER, TYPE AIR PRIMARY, SIZE 384.05 X 622.3MM., MFG FLEETGUARD, P/N AF25544",PCS,2
JAS,CEDE-H2000-06,"Job for Mec Cummins engine model KTA-50-G9, 2000 hrs Service(without eliminator and SWHE inspection & cleaning)",190,1002656,"ELEMENT, FILTER, TYPE AIR SECONDARY, SIZE 251.21 X 596.9MM., MFG FLEETGUARD, P/N AF25545",PCS,2
JAS,CEDE-H2000-06,"Job for Mec Cummins engine model KTA-50-G9, 2000 hrs Service(without eliminator and SWHE inspection & cleaning)",170,1016043,"ELEMENT, COOLANT FILTER, EXTENDEDER, THREAD SIZE 11/16-16 UN-2B  FOR KTA50 ENGINE, MFG CUMMINS, P/N WF2121",EA,2
JAS,CEDE-H1500-04,Job for Mechanic Cummins engine model KTA50-G9 1500 hrs service (With Injector and Eliminator),240,1002516,"ELEMENT, FILTER, TYPE WATER, SPIN-ON, SIZE 93.73 X 137.92MM., FILTER RETENTION 60 MICRON, MATL CELLULOSE, MFG FLEETGUARD, P/N WF2076",PCS,2
JAS,CEDE-H1500-04,Job for Mechanic Cummins engine model KTA50-G9 1500 hrs service (With Injector and Eliminator),250,1002655,"ELEMENT, FILTER, TYPE AIR PRIMARY, SIZE 384.05 X 622.3MM., MFG FLEETGUARD, P/N AF25544",PCS,2
JAS,CEDE-H1500-04,Job for Mechanic Cummins engine model KTA50-G9 1500 hrs service (With Injector and Eliminator),260,1002656,"ELEMENT, FILTER, TYPE AIR SECONDARY, SIZE 251.21 X 596.9MM., MFG FLEETGUARD, P/N AF25545",PCS,2
JAS,CEDE-H1500-04,Job for Mechanic Cummins engine model KTA50-G9 1500 hrs service (With Injector and Eliminator),70,1004411,"OIL, ENGINE, SAE 15W-40, API CI-4, CONTAINER DRUM 209L, MFG CUMMINS, P/N 200L-CI4",DRM,1
JAS,CEDE-H1500-04,Job for Mechanic Cummins engine model KTA50-G9 1500 hrs service (With Injector and Eliminator),150,1002518,"ELEMENT, FILTER, TYPE OIL - SPIN-ON, SIZE 120.27 X 287.27 MM, MFG FLEETGUARD, P/N LF3325",PCS,5
JAS,CEDE-H1500-04,Job for Mechanic Cummins engine model KTA50-G9 1500 hrs service (With Injector and Eliminator),160,1002517,"ELEMENT, FILTER, TYPE OIL, SPIN-ON, SIZE 116.08 X 249.2MM., FILTER RETENTION 5 MICRON, MFG FLEETGUARD, P/N LF777",PCS,2
JAS,CEDE-H1500-04,Job for Mechanic Cummins engine model KTA50-G9 1500 hrs service (With Injector and Eliminator),190,1002602,"ELEMENT, FILTER,  TYPE FUEL/WATER SEPARATOR, SIZE 4.7 X 9.6 IN, FILTER RETENTION 30 MICRON, MATL MICRO-GLASS FIBRE, MFG PARKER, P/N 2020PM-OR",PCS,3
JAS,CEDE-H1500-04,Job for Mechanic Cummins engine model KTA50-G9 1500 hrs service (With Injector and Eliminator),220,1002651,"ELEMENT, FILTER, TYPE FUEL/WATER SEPARATOR SPIN ON, SIZE 120.29 X 313MM., MFG FLEETGUARD, P/N FS1006",PCS,4
JAS,CEDE-H1500-04,Job for Mechanic Cummins engine model KTA50-G9 1500 hrs service (With Injector and Eliminator),170,1004785,"KIT, TYPE ELIMINATOR, APP LUBRICATION OIL CLR CVN, MFG CUMMINS, P/N 3633026",SET,1
JAS,CEDE-H1500-04,Job for Mechanic Cummins engine model KTA50-G9 1500 hrs service (With Injector and Eliminator),275,1018480,"GASKET, COVER ECOVEN FOR KTA50/G9, MFG CUMMINS, P/N Q58403-20",EA,2
JAS,CEDE-H1500-04,Job for Mechanic Cummins engine model KTA50-G9 1500 hrs service (With Injector and Eliminator),275,1018479,"ELEMENT, FILTER, TYPE ECOVENT FOR KTA50/G9 AND QSK78, MFG CUMMINS, P/N 88465A",EA,2
JAS,CEDE-H1500-04,Job for Mechanic Cummins engine model KTA50-G9 1500 hrs service (With Injector and Eliminator),240,1016043,"ELEMENT, COOLANT FILTER, EXTENDEDER, THREAD SIZE 11/16-16 UN-2B  FOR KTA50 ENGINE, MFG CUMMINS, P/N WF2121",EA,2
JAS,CEDE-H1500-04,Job for Mechanic Cummins engine model KTA50-G9 1500 hrs service (With Injector and Eliminator),250,1017784,"FILTER, AIR, HOUSING, DISPOSABLE, SIZE OD342.90 X H653.29MM., MFG FLEETGUARD, P/N AH1135",EA,1
JAS,CEDE-H1500-04,Job for Mechanic Cummins engine model KTA50-G9 1500 hrs service (With Injector and Eliminator),260,1017784,"FILTER, AIR, HOUSING, DISPOSABLE, SIZE OD342.90 X H653.29MM., MFG FLEETGUARD, P/N AH1135",EA,1
JAS,IPCO-M06-01,Job for E&I Tech & Contractor Corrosion coupon 6 monthly service,1,1006240,"PACKING, RING SET, TYPE PRIMARY PACKING, SIZE 2IN., MATL TEFLON, MFG ROHRBACK COSASCO, P/N 551003-1",EA,5
JAS,IPCO-M06-01,Job for E&I Tech & Contractor Corrosion coupon 6 monthly service,1,1005152,"O-RING,  MATL VITON, MFG ROHRBACK COSASCO, P/N 551022-1",EA,5
JAS,IPCO-M06-01,Job for E&I Tech & Contractor Corrosion coupon 6 monthly service,1,1006214,"COUPON, SIZE 2-7/8 X 7/8 X 1/8IN., MATL 1018 CARBON STEEL, MFG ROHRBACK COSASCO, P/N CI-S3-G10180-0-0-0-0",EA,10
JAS,FGBF-M06-03,Job for UV/IR DET-TRONICS Flame Detector X-Series (Function Test) -6 Monthly,60,1007097,"CLEANER, FOR FLAME DETECTOR WINDOWS, 6EA PER PACK, MFG DET-TRONICS, P/N 001680-001",EA,1
JAS,VEHY-M06-01,Job for Mechanic Tech HYDROCYCLONE-6 monthly service,70,1003225,"DUPLICATED, PLEASE USE ITEM 1003226",PCS,1
JAS,VEHY-M06-01,Job for Mechanic Tech HYDROCYCLONE-6 monthly service,70,1004325,"GASKET, SPIRAL WOUND, PIPE SIZE 30IN., CLASS 150, SPIRAL WOUND THCK 0.175IN., WINDING MATL SS316, FILLER MATL FLEXIBLE SUPER, CENTERING RING MATL CS WITH BLACK EPOXY COATED, INNERING RING MATL TBA, SPEC API601",EA,3
JAS,VEHY-M06-01,Job for Mechanic Tech HYDROCYCLONE-6 monthly service,70,1003226,"GASKET, SPIRAL WOUND, PIPE SIZE 2IN., CLASS 300, SPIRAL WOUND THCK 0.175IN., WINDING MATL SS316, FILLER MATL GRAPHITE, CENTERING RING SS316, INNERING RING MATL SS316, SPEC API 601",EA,1
JAS,IPTM-Y05-04,Job for E&I Wireless Temperature Transmitter Calibration and Battery Replacement -5 Yearly Service,20,1015643,"BATTERY, TYPE SMART POWER OPTION, BLACK POWER MODULE, MFG ROSEMOUNT, P/N 701PBKKF",EA,4
JAS,CEDE-H12000-03,"Job for Mechanic Cummins engine model KTA-50-G3/G9 12,000 hr service",270,1003275,OBSOLETE ITEM,EA,1
